1   1000.   1000   1000   1000   1000
2   8.96   .0260   62.9296  63  0.248857
3   7.87   .01506  55.845  56  0.11851
4   2.19    .1749  12.00  12    0.0799
5   2.19    .6102  12.00  12    1.32787
6   1000.   1000   1000   1000  1000
7   1000.   1000   1000   1000  1000
8   1000.   1000   1000   1000  1000
9   1000.   1000   1000   1000  1000
10  1000.   1000   1000   1000  1000
11  0.0723  10.0 1.0079   1  0.723
12  1000.   1000   1000   1000  1000 
13  1000.   1000   1000   1000  1000
14  1000.   1000  1000  1000    1000
15  0.1670  10.0  2.014   2    1.670
16  1000.   1000   1000   1000  1000
17  2.68    0.1962  26.982  27  0.5259
18  2.80    0.02654 26.982   27  0.0743
19  2.80    0.0246  26.982   27  0.0659
20  1000    1000   1000   1000  1000















